Dataset,Strain,strain_index,Day,"('Composite', 'IMMAGE')","('Composite', 'Age')","('Composite', 'Multivariate')",html_path
GSE59654.SDY404,A_Perth_16_2009,0,AdjMFC,0.91,0.47,0.48,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_Perth_16_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_California_7_2009,1,AdjMFC,0.91,0.47,0.48,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_California_7_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,B_Brisbane_60_2008,2,AdjMFC,0.91,0.47,0.48,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_B_Brisbane_60_2008_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_Perth_16_2009,0,AdjMFC,0.91,0.47,0.48,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_Perth_16_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_California_7_2009,1,AdjMFC,0.91,0.47,0.48,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_California_7_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,B_Brisbane_60_2008,2,AdjMFC,0.91,0.47,0.48,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_B_Brisbane_60_2008_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,B_Wisonsin_01_2010,0,AdjMFC,0.71,0.95,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_B_Wisonsin_01_2010_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_Victoria_361_2011,1,AdjMFC,0.71,0.95,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_Victoria_361_2011_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_California_7_2009,2,AdjMFC,0.71,0.95,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_California_7_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,B_Wisonsin_01_2010,0,AdjMFC,0.71,0.95,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_B_Wisonsin_01_2010_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_Victoria_361_2011,1,AdjMFC,0.71,0.95,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_Victoria_361_2011_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_California_7_2009,2,AdjMFC,0.71,0.95,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_California_7_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,B_Brisbane_60_2008,0,AdjMFC,1.00,0.55,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_B_Brisbane_60_2008_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_Perth_16_2009,1,AdjMFC,1.00,0.55,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_Perth_16_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_California_7_2009,2,AdjMFC,1.00,0.55,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_California_7_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_Perth_16_2009,0,AdjMFC,1.00,0.55,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_Perth_16_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,B_Brisbane_60_2008,1,AdjMFC,1.00,0.55,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_B_Brisbane_60_2008_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_California_7_2009,2,AdjMFC,1.00,0.55,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_California_7_2009_AdjMFC_discard_seroprotected_older-only.html"", ""Link"")"
GSE41080.SDY212,A_Brisbane_59_2007,2,FC.HAI,0.64,0.62,0.64,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE41080.SDY212_A_Brisbane_59_2007_FC.HAI_discard_seroprotected_older-only.html"", ""Link"")"
GSE41080.SDY212,A_Brisbane_10_2007,0,HAI.D28,0.58,0.67,0.68,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE41080.SDY212_A_Brisbane_10_2007_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE41080.SDY212,B_Florida_4_2006,1,HAI.D28,0.66,0.62,0.66,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE41080.SDY212_B_Florida_4_2006_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_Perth_16_2009,0,HAI.D28,0.95,0.75,0.75,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_Perth_16_2009_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_California_7_2009,1,HAI.D28,0.88,0.70,0.73,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_California_7_2009_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_Perth_16_2009,0,FC.HAI,0.75,0.77,0.80,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_Perth_16_2009_FC.HAI_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,A_California_7_2009,1,FC.HAI,0.85,0.63,0.69,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_A_California_7_2009_FC.HAI_discard_seroprotected_older-only.html"", ""Link"")"
GSE59654.SDY404,B_Brisbane_60_2008,2,FC.HAI,0.85,0.63,0.63,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59654.SDY404_B_Brisbane_60_2008_FC.HAI_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,B_Wisonsin_01_2010,0,FC.HAI,0.97,0.75,0.90,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_B_Wisonsin_01_2010_FC.HAI_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_California_7_2009,2,FC.HAI,0.79,0.76,0.76,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_California_7_2009_FC.HAI_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_Victoria_361_2011,1,HAI.D28,0.91,0.67,0.67,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_Victoria_361_2011_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE59743.SDY400,A_California_7_2009,2,HAI.D28,0.63,0.55,0.55,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59743.SDY400_A_California_7_2009_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
SDY67,A_California_7_2009,1,FC.D28.HAI,0.71,0.59,0.70,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/SDY67_A_California_7_2009_FC.D28.HAI_discard_seroprotected_older-only.html"", ""Link"")"
SDY67,A_California_7_2009,1,HAI.D28,0.55,0.50,0.53,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/SDY67_A_California_7_2009_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,B_Brisbane_60_2008,0,FC,1.00,0.38,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_B_Brisbane_60_2008_FC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_Perth_16_2009,1,FC,0.55,0.38,0.55,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_Perth_16_2009_FC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_California_7_2009,2,FC,0.88,0.88,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_California_7_2009_FC_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,A_Perth_16_2009,0,HAI.D28,1.00,0.71,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_A_Perth_16_2009_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
GSE59635.SDY63,B_Brisbane_60_2008,1,HAI.D28,1.00,0.38,1.00,"=HYPERLINK(""file:///home/yonatan/Documents/projects/vaccines/code/export/GSE59635.SDY63_B_Brisbane_60_2008_HAI.D28_discard_seroprotected_older-only.html"", ""Link"")"
